id,Beam/Column,Wall,Floor,Cladding,Wall Insulation,Roof Insulation,Roof Membrane,IGU,Window Frame,WWR,Floor to Floor Height,Parking Levels,SCM,GWP
9876,Load Bearing Wood Wall,Wood Stud,Wood Joist,Fiberboard,Mineral Wool,XPS,Mod Bit,Triple Glazed,PVC,10,3,0,0,98.9
204941,Glulam,CLT,Wood I Joist,Brick,XPS,Mineral Wool,PVC,Triple Glazed,Aluminum,25,3,0,30,147.0
10244,Load Bearing Wood Wall,Wood Stud,Wood Joist,Fiberboard,Mineral Wool,Mineral Wool,PVC,Double Glazed,Wood,10,3,0,30,84.9
175387,Glulam,Wood Stud OVE,Wood I Joist,Metal,Cellulose,EPS,EPDM,Triple Glazed,Wood,10,3,0,20,125.8
95090,Glulam,Steel Stud,Wood Joist,EIFS,EIFS,XPS,Mod Bit,Double Glazed,Aluminum,10,3,0,30,117.5
232619,Glulam,ICF,Wood I Joist,PVC,XPS,Mineral Wool,Mod Bit,Double Glazed,Fiberglass,25,3,0,30,202.2
153143,Glulam,Wood Stud,CLT,EIFS,EIFS,Mineral Wool,Mod Bit,Double Glazed,Wood,25,3,0,30,117.5
36981,Load Bearing Wood Wall,CLT,Wood Joist,PVC,XPS,XPS,EPDM,Double Glazed,Wood,25,3,0,0,117.4
97310,Glulam,Steel Stud,Wood Joist,Fiberboard,Fiberglass,Mineral Wool,EPDM,Double Glazed,PVC,10,3,0,30,103.9
189345,Glulam,Wood Stud OVE,CLT,Metal,Spray Foam,Polyiso,EPDM,Triple Glazed,Fiberglass,25,3,0,0,231.3
89948,Glulam,Steel Stud,Wood Joist,Metal,Fiberglass,XPS,Mod Bit,Triple Glazed,Wood,10,3,0,30,154.2
16091,Load Bearing Wood Wall,Wood Stud,Wood I Joist,Metal,Spray Foam,Mineral Wool,EPDM,Double Glazed,Fiberglass,25,3,0,30,196.3
138312,Glulam,Wood Stud,Wood I Joist,PVC,Fiberglass,XPS,Mod Bit,Triple Glazed,Aluminum,10,3,0,0,87.5
98053,Glulam,Steel Stud,Wood I Joist,Brick,XPS,XPS,EPDM,Triple Glazed,PVC,10,3,0,20,161.7
64053,Load Bearing Wood Wall,ICF,Wood I Joist,Brick,Mineral Wool,XPS,EPDM,Double Glazed,Wood,25,3,0,0,235.2
228581,Glulam,ICF,Wood I Joist,Brick,Mineral Wool,Mineral Wool,Mod Bit,Double Glazed,Aluminum,25,3,0,30,218.6
129276,Glulam,Wood Stud,Wood Joist,EIFS,EIFS,EPS,EPDM,Double Glazed,PVC,10,3,0,0,87.4
81123,Load Bearing Wood Wall,ICF,CLT,PVC,Fiberglass,Mineral Wool,Mod Bit,Double Glazed,Aluminum,25,3,0,0,231.7
48024,Load Bearing Wood Wall,CLT,CLT,Metal,Mineral Wool,EPS,Mod Bit,Triple Glazed,Aluminum,10,3,0,0,183.1
1,Load Bearing Wood Wall,Wood Stud,Wood Joist,Brick,XPS,XPS,PVC,Double Glazed,Aluminum,10,3,0,20,132.6
203928,Glulam,CLT,Wood Joist,Fiberboard,Mineral Wool,XPS,PVC,Triple Glazed,Aluminum,10,3,0,0,113.6
248986,Glulam,ICF,CLT,Fiberboard,Mineral Wool,EPS,PVC,Double Glazed,Fiberglass,25,3,0,20,231.2
188808,Glulam,Wood Stud OVE,CLT,Metal,Fiberglass,Mineral Wool,PVC,Triple Glazed,Aluminum,10,3,0,0,153.5
41197,Load Bearing Wood Wall,CLT,Wood I Joist,Brick,Mineral Wool,Polyiso,PVC,Double Glazed,PVC,10,3,0,20,134.0
224852,Glulam,ICF,Wood Joist,EIFS,EIFS,EPS,Mod Bit,Double Glazed,Wood,10,3,0,30,210.0
27536,Load Bearing Wood Wall,Wood Stud,CLT,Metal,Spray Foam,Mineral Wool,PVC,Triple Glazed,Fiberglass,10,3,0,30,244.6
